"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Nrtg","Home","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct"
"69",69,736166,3808,8594,3808,23,15,33,14,6,23,9,24,15,200,"BV Leeuwarden","BV Leeuw",736166,8594,8594,3808,13,9,36,24,7,21,5,31,18,200,"Donar","Donar",10.58,5.98,61,78,FALSE,TRUE,81.58,80.98,72.913,76.1834482758621,75,FALSE,74.548224137931,81.3333333333333,104,-22.6666666666667,TRUE,0.410714285714286,0.225,0.2,0.267857142857143,0.605263157894737,0.172413793103448,0.24,0.157894736842105,0.495644337638931,0.345449083808952,0.158906578552118,0.424242424242424,0.260869565217391,0.652173913043478
"70",70,736166,8594,8594,3808,13,9,36,24,7,21,5,31,18,200,"Donar","Donar",736166,3808,8594,3808,23,15,33,14,6,23,9,24,15,200,"BV Leeuwarden","BV Leeuw",5.98,10.58,78,61,TRUE,FALSE,80.98,81.58,76.1834482758621,72.913,75,FALSE,74.548224137931,104,81.3333333333333,22.6666666666667,FALSE,0.605263157894737,0.172413793103448,0.24,0.157894736842105,0.410714285714286,0.225,0.2,0.267857142857143,0.571610034931724,0.333439187043506,0.0949507780247698,0.666666666666667,0.333333333333333,0.692307692307692
"71",71,736167,3107,3107,11480,14,8,41,25,3,20,8,21,15,200,"BS Leiden","BS Leide",736167,11480,3107,11480,10,7,41,21,7,21,11,28,18,200,"New Heroes","New Hero",6.44,4.6,67,70,FALSE,TRUE,82.44,84.6,74.5933333333333,72.094375,73,FALSE,73.3438541666667,91.7808219178082,95.8904109589041,-4.10958904109589,FALSE,0.483606557377049,0.222222222222222,0.205479452054795,0.131147540983607,0.508064516129032,0.34375,0.246575342465753,0.112903225806452,0.607947805456702,0.29655990510083,0.0954922894424674,0.609756097560976,0.15,0.571428571428571
"72",72,736167,11480,3107,11480,10,7,41,21,7,21,11,28,18,200,"New Heroes","New Hero",736167,3107,3107,11480,14,8,41,25,3,20,8,21,15,200,"BS Leiden","BS Leide",4.6,6.44,70,67,TRUE,FALSE,84.6,82.44,72.094375,74.5933333333333,73,FALSE,73.3438541666667,95.8904109589041,91.7808219178082,4.10958904109589,TRUE,0.508064516129032,0.34375,0.246575342465753,0.112903225806452,0.483606557377049,0.222222222222222,0.205479452054795,0.131147540983607,0.615615615615616,0.315315315315315,0.0690690690690691,0.51219512195122,0.333333333333333,0.7
"73",73,736168,3103,3103,10757,17,15,41,22,8,22,7,29,13,200,"Rotterdam Basketbal","Rotterda",736168,10757,3103,10757,17,13,35,19,10,31,10,28,14,200,"BC APOLLO Amsterdam","BC APOLL",7.82,7.82,83,81,TRUE,FALSE,83.82,87.82,76.758,77.6687179487179,77,FALSE,77.213358974359,107.792207792208,105.194805194805,2.59740259740259,FALSE,0.53968253968254,0.2,0.168831168831169,0.238095238095238,0.515151515151515,0.256410256410256,0.181818181818182,0.196969696969697,0.578932504942107,0.310646709968935,0.110420785088958,0.536585365853659,0.363636363636364,0.882352941176471
"74",74,736168,10757,3103,10757,17,13,35,19,10,31,10,28,14,200,"BC APOLLO Amsterdam","BC APOLL",736168,3103,3103,10757,17,15,41,22,8,22,7,29,13,200,"Rotterdam Basketbal","Rotterda",7.82,7.82,81,83,FALSE,TRUE,87.82,83.82,77.6687179487179,76.758,77,FALSE,77.213358974359,105.194805194805,107.792207792208,-2.59740259740259,TRUE,0.515151515151515,0.256410256410256,0.181818181818182,0.196969696969697,0.53968253968254,0.2,0.168831168831169,0.238095238095238,0.474126253047955,0.41994039555676,0.105933351395286,0.542857142857143,0.32258064516129,0.764705882352941
"75",75,736169,2571,2571,8594,9,5,36,15,5,20,6,25,25,200,"Basketball Stars Weert","Basketba",736169,8594,2571,8594,33,24,31,15,12,30,13,31,16,200,"Donar","Donar",4.14,15.18,50,90,FALSE,TRUE,85.14,92.18,78.8935135135135,79.7342105263158,79,FALSE,79.3138620199147,63.2911392405063,113.924050632911,-50.6329113924051,FALSE,0.401785714285714,0.162162162162162,0.316455696202532,0.0892857142857143,0.540983606557377,0.342105263157895,0.20253164556962,0.39344262295082,0.598603259062188,0.33255736614566,0.0688393747921517,0.416666666666667,0.25,0.555555555555556
"76",76,736169,8594,2571,8594,33,24,31,15,12,30,13,31,16,200,"Donar","Donar",736169,2571,2571,8594,9,5,36,15,5,20,6,25,25,200,"Basketball Stars Weert","Basketba",15.18,4.14,90,50,TRUE,FALSE,92.18,85.14,79.7342105263158,78.8935135135135,79,FALSE,79.3138620199147,113.924050632911,63.2911392405063,50.6329113924051,TRUE,0.540983606557377,0.342105263157895,0.20253164556962,0.39344262295082,0.401785714285714,0.162162162162162,0.316455696202532,0.0892857142857143,0.406930953006038,0.39380414807036,0.199264898923602,0.483870967741935,0.4,0.727272727272727
"77",77,736170,1771,11480,1771,7,5,42,24,6,19,4,25,9,200,"Landstede Basketbal","Landsted",736170,11480,11480,1771,22,13,41,19,8,18,12,26,14,200,"New Heroes","New Hero",3.22,10.12,71,75,FALSE,TRUE,73.22,83.12,68.7973333333333,72.0151351351351,70,FALSE,70.4062342342342,101.428571428571,107.142857142857,-5.71428571428571,TRUE,0.540983606557377,0.133333333333333,0.128571428571429,0.0819672131147541,0.525423728813559,0.324324324324324,0.2,0.220338983050847,0.654001868576767,0.29585798816568,0.0501401432575522,0.571428571428571,0.315789473684211,0.714285714285714
"78",78,736170,11480,11480,1771,22,13,41,19,8,18,12,26,14,200,"New Heroes","New Hero",736170,1771,11480,1771,7,5,42,24,6,19,4,25,9,200,"Landstede Basketbal","Landsted",10.12,3.22,75,71,TRUE,FALSE,83.12,73.22,72.0151351351351,68.7973333333333,70,FALSE,70.4062342342342,107.142857142857,101.428571428571,5.71428571428571,FALSE,0.525423728813559,0.324324324324324,0.2,0.220338983050847,0.540983606557377,0.133333333333333,0.128571428571429,0.0819672131147541,0.593171296296296,0.260416666666667,0.146412037037037,0.463414634146341,0.444444444444444,0.590909090909091
