"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Home","Nrtg","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct"
"22",22,626470,3103,1771,3103,25,16,48,21,4,11,12,17,16,200,"Rotterdam Basketbal","Rotterda",626470,1771,1771,3103,12,9,49,31,8,17,12,31,20,200,"Landstede Basketbal","Landsted",11.5,5.52,70,95,FALSE,TRUE,86.5,91.52,76.3474418604651,79.5655172413793,78,FALSE,77.9564795509222,89.7435897435897,121.794871794872,TRUE,-32.0512820512821,0.457627118644068,0.27906976744186,0.205128205128205,0.271186440677966,0.651515151515151,0.413793103448276,0.256410256410256,0.136363636363636,0.680851063829787,0.156028368794326,0.163120567375887,0.4375,0.363636363636364,0.64
"23",23,626471,2571,2571,8594,15,9,32,13,3,22,10,20,20,200,"Basketball Stars Weert","Basketba",626471,8594,2571,8594,16,9,50,24,8,17,18,32,14,200,"GasTerra Flames","GasTerra",6.9,7.36,44,81,FALSE,TRUE,80.9,88.36,71.2190476190476,70.6205263157895,71,FALSE,70.9197869674186,61.9718309859155,114.084507042254,FALSE,-52.112676056338,0.324074074074074,0.238095238095238,0.28169014084507,0.166666666666667,0.537313432835821,0.473684210526316,0.197183098591549,0.134328358208955,0.525451559934319,0.361247947454844,0.113300492610837,0.40625,0.136363636363636,0.6
"24",24,626471,8594,2571,8594,16,9,50,24,8,17,18,32,14,200,"GasTerra Flames","GasTerra",626471,2571,2571,8594,15,9,32,13,3,22,10,20,20,200,"Basketball Stars Weert","Basketba",7.36,6.9,81,44,TRUE,FALSE,88.36,80.9,70.6205263157895,71.2190476190476,71,FALSE,70.9197869674186,114.084507042254,61.9718309859155,TRUE,52.112676056338,0.537313432835821,0.473684210526316,0.197183098591549,0.134328358208955,0.324074074074074,0.238095238095238,0.28169014084507,0.166666666666667,0.672404518558365,0.228617536309844,0.0989779451317913,0.48,0.470588235294118,0.5625
"25",25,626473,2393,2393,3107,23,17,41,21,5,17,4,30,16,200,"Matrixx Magixx","Matrixx ",626473,3107,2393,3107,21,13,35,17,6,21,5,23,14,200,"BS Leiden","BS Leide",10.58,9.66,74,65,TRUE,FALSE,84.58,79.66,79.5074074074074,74.6157142857143,77,TRUE,77.0615608465608,96.1038961038961,84.4155844155844,FALSE,11.6883116883117,0.491379310344828,0.148148148148148,0.207792207792208,0.293103448275862,0.464285714285714,0.142857142857143,0.181818181818182,0.232142857142857,0.597841936424614,0.247885680956547,0.154272382618839,0.51219512195122,0.294117647058824,0.739130434782609
"26",26,626473,3107,2393,3107,21,13,35,17,6,21,5,23,14,200,"BS Leiden","BS Leide",626473,2393,2393,3107,23,17,41,21,5,17,4,30,16,200,"Matrixx Magixx","Matrixx ",9.66,10.58,65,74,FALSE,TRUE,79.66,84.58,74.6157142857143,79.5074074074074,77,TRUE,77.0615608465608,84.4155844155844,96.1038961038961,TRUE,-11.6883116883117,0.464285714285714,0.142857142857143,0.181818181818182,0.232142857142857,0.491379310344828,0.148148148148148,0.207792207792208,0.293103448275862,0.533049040511727,0.319829424307036,0.147121535181237,0.485714285714286,0.285714285714286,0.619047619047619
"27",27,626474,3138,3520,3138,16,12,53,29,8,19,18,29,18,200,"BV Aris","BV Aris",626474,3520,3520,3138,21,15,40,19,8,22,8,19,13,200,"Den Helder Kings Noordkop","Den Held",7.36,9.66,94,77,TRUE,FALSE,97.36,84.66,79.1410810810811,76.5627027027027,78,FALSE,77.8518918918919,120.512820512821,98.7179487179487,TRUE,21.7948717948718,0.569444444444444,0.486486486486487,0.230769230769231,0.166666666666667,0.5,0.216216216216216,0.166666666666667,0.241935483870968,0.667842741935484,0.239415322580645,0.092741935483871,0.547169811320755,0.421052631578947,0.75
"28",28,626474,3520,3520,3138,21,15,40,19,8,22,8,19,13,200,"Den Helder Kings Noordkop","Den Held",626474,3138,3520,3138,16,12,53,29,8,19,18,29,18,200,"BV Aris","BV Aris",9.66,7.36,77,94,FALSE,TRUE,84.66,97.36,76.5627027027027,79.1410810810811,78,FALSE,77.8518918918919,98.7179487179487,120.512820512821,FALSE,-21.7948717948718,0.5,0.216216216216216,0.166666666666667,0.241935483870968,0.569444444444444,0.486486486486487,0.230769230769231,0.166666666666667,0.558191459670667,0.307005302818867,0.134803237510466,0.475,0.363636363636364,0.714285714285714
"29",29,626476,2393,2393,3520,17,9,49,23,6,15,15,19,16,200,"Matrixx Magixx","Matrixx ",626476,3520,2393,3520,8,5,26,15,10,28,11,23,22,200,"Den Helder Kings Noordkop","Den Held",7.82,3.68,73,65,TRUE,FALSE,87.82,79.68,73.0371052631579,68.3023333333333,71,TRUE,70.6697192982456,102.816901408451,91.5492957746479,FALSE,11.2676056338028,0.5,0.394736842105263,0.225352112676056,0.140625,0.555555555555556,0.366666666666667,0.309859154929577,0.0925925925925926,0.682261208576998,0.208855472013367,0.108883319409635,0.469387755102041,0.4,0.529411764705882
"30",30,626476,3520,2393,3520,8,5,26,15,10,28,11,23,22,200,"Den Helder Kings Noordkop","Den Held",626476,2393,2393,3520,17,9,49,23,6,15,15,19,16,200,"Matrixx Magixx","Matrixx ",3.68,7.82,65,73,FALSE,TRUE,79.68,87.82,68.3023333333333,73.0371052631579,71,TRUE,70.6697192982456,91.5492957746479,102.816901408451,TRUE,-11.2676056338028,0.555555555555556,0.366666666666667,0.309859154929577,0.0925925925925926,0.5,0.394736842105263,0.225352112676056,0.140625,0.450762829403606,0.485436893203884,0.0638002773925104,0.576923076923077,0.357142857142857,0.625
"31",31,626477,3103,3107,3103,19,16,45,22,5,22,19,23,11,200,"Rotterdam Basketbal","Rotterda",626477,3107,3107,3103,46,26,28,20,6,19,9,26,14,200,"BS Leiden","BS Leide",8.74,21.16,75,84,FALSE,TRUE,86.74,82.16,68.6688888888889,75.8403125,72,TRUE,72.2546006944444,104.166666666667,116.666666666667,TRUE,-12.5,0.440298507462687,0.422222222222222,0.152777777777778,0.238805970149254,0.617021276595745,0.28125,0.194444444444444,0.553191489361702,0.594137839978875,0.290467388434117,0.115394771587008,0.488888888888889,0.227272727272727,0.842105263157895
"32",32,626477,3107,3107,3103,46,26,28,20,6,19,9,26,14,200,"BS Leiden","BS Leide",626477,3103,3107,3103,19,16,45,22,5,22,19,23,11,200,"Rotterdam Basketbal","Rotterda",21.16,8.74,84,75,TRUE,FALSE,82.16,86.74,75.8403125,68.6688888888889,72,TRUE,72.2546006944444,116.666666666667,104.166666666667,FALSE,12.5,0.617021276595745,0.28125,0.194444444444444,0.553191489361702,0.440298507462687,0.422222222222222,0.152777777777778,0.238805970149254,0.410798122065728,0.278755868544601,0.310446009389671,0.714285714285714,0.315789473684211,0.565217391304348
"33",33,626478,1771,1771,2571,25,16,42,27,5,11,6,28,12,200,"Landstede Basketbal","Landsted",626478,2571,1771,2571,18,9,30,13,7,21,7,19,22,200,"Basketball Stars Weert","Basketba",11.5,8.28,85,56,TRUE,FALSE,76.5,81.28,71.1072,74.646,73,FALSE,72.8766,116.438356164384,76.7123287671233,FALSE,39.7260273972603,0.650943396226415,0.24,0.164383561643836,0.30188679245283,0.46078431372549,0.2,0.301369863013699,0.176470588235294,0.651162790697674,0.170542635658915,0.178294573643411,0.642857142857143,0.454545454545455,0.64
"34",34,626478,2571,1771,2571,18,9,30,13,7,21,7,19,22,200,"Basketball Stars Weert","Basketba",626478,1771,1771,2571,25,16,42,27,5,11,6,28,12,200,"Landstede Basketbal","Landsted",8.28,11.5,56,85,FALSE,TRUE,81.28,76.5,74.646,71.1072,73,FALSE,72.8766,76.7123287671233,116.438356164384,TRUE,-39.7260273972603,0.46078431372549,0.2,0.301369863013699,0.176470588235294,0.650943396226415,0.24,0.164383561643836,0.30188679245283,0.506072874493927,0.354251012145749,0.139676113360324,0.433333333333333,0.333333333333333,0.5
"35",35,626479,1771,3138,1771,28,21,41,20,7,20,20,35,27,200,"Landstede Basketbal","Landsted",626479,3138,3138,1771,28,17,45,20,6,16,4,16,17,200,"BV Aris","BV Aris",12.88,12.88,82,75,TRUE,FALSE,100.88,90.88,80.6688888888889,87.0389743589744,84,TRUE,83.8539316239316,97.6190476190476,89.2857142857143,TRUE,8.33333333333333,0.5,0.555555555555556,0.321428571428571,0.344262295081967,0.475409836065574,0.102564102564103,0.202380952380952,0.278688524590164,0.554953979426096,0.270709258256632,0.174336762317271,0.48780487804878,0.35,0.75
"36",36,626479,3138,3138,1771,28,17,45,20,6,16,4,16,17,200,"BV Aris","BV Aris",626479,1771,3138,1771,28,21,41,20,7,20,20,35,27,200,"Landstede Basketbal","Landsted",12.88,12.88,75,82,FALSE,TRUE,90.88,100.88,87.0389743589744,80.6688888888889,84,TRUE,83.8539316239316,89.2857142857143,97.6190476190476,FALSE,-8.33333333333333,0.475409836065574,0.102564102564103,0.202380952380952,0.278688524590164,0.5,0.555555555555556,0.321428571428571,0.344262295081967,0.609095831077423,0.216567406605306,0.174336762317271,0.444444444444444,0.375,0.607142857142857
"37",37,626480,2393,2571,2393,19,14,48,29,9,18,12,29,6,200,"Matrixx Magixx","Matrixx ",626480,2571,2571,2393,10,6,36,17,9,21,5,19,14,200,"Basketball Stars Weert","Basketba",8.74,4.6,99,67,TRUE,FALSE,80.74,75.6,69.1425806451613,70.7220588235294,70,FALSE,69.9323197343454,141.428571428571,95.7142857142857,TRUE,45.7142857142857,0.643939393939394,0.387096774193548,0.0857142857142857,0.212121212121212,0.535087719298246,0.147058823529412,0.2,0.105263157894737,0.642226384800642,0.240834894300241,0.116938720899117,0.604166666666667,0.5,0.736842105263158
"38",38,626480,2571,2571,2393,10,6,36,17,9,21,5,19,14,200,"Basketball Stars Weert","Basketba",626480,2393,2571,2393,19,14,48,29,9,18,12,29,6,200,"Matrixx Magixx","Matrixx ",4.6,8.74,67,99,FALSE,TRUE,75.6,80.74,70.7220588235294,69.1425806451613,70,FALSE,69.9323197343454,95.7142857142857,141.428571428571,FALSE,-45.7142857142857,0.535087719298246,0.147058823529412,0.2,0.105263157894737,0.643939393939394,0.387096774193548,0.0857142857142857,0.212121212121212,0.584415584415584,0.340909090909091,0.0746753246753247,0.472222222222222,0.428571428571429,0.6
