"";"wed_ID";"plg_ID";"wed_UitPloeg";"wed_ThuisPloeg";"FTA";"FTM";"FG2A";"FG2M";"FG3M";"FG3A";"OR";"DR";"TO";"Minuten";"plg_Name";"plg_ShortName";"opp_wed_ID";"opp_plg_ID";"opp_wed_UitPloeg";"opp_wed_ThuisPloeg";"opp_FTA";"opp_FTM";"opp_FG2A";"opp_FG2M";"opp_FG3M";"opp_FG3A";"opp_OR";"opp_DR";"opp_TO";"opp_Minuten";"opp_plg_Name";"opp_plg_ShortName";"FTtrips";"opp_FTtrips";"pts";"opp_pts";"Win";"Loss";"plays";"opp_plays";"ps";"opp_ps";"avgps";"WARNING";"pace";"Ortg";"Drtg";"Nrtg";"Home";"EFGpct";"ORpct";"TOpct";"FT4f";"opp_EFGpct";"opp_ORpct";"opp_TOpct";"opp_FT4f";"FG2Apct";"FG3Apct";"FTTpct";"FG2pct";"FG3pct";"FTpct"
"30";764567;3107;1771;3107;14;12;45;21;10;27;17;30;8;200;"BS Leiden";"BS Leide";764567;1771;1771;3107;28;18;40;15;4;22;12;25;14;200;"Landstede Basketbal";"Landsted";6,44;12,88;84;60;TRUE;FALSE;86,44;88,88;68,6830952380952;75,7342857142857;72;TRUE;72,2086904761905;116,666666666667;83,3333333333333;33,3333333333333;TRUE;0,5;0,404761904761905;0,111111111111111;0,166666666666667;0,338709677419355;0,285714285714286;0,194444444444444;0,290322580645161;0,573686894441611;0,344212136664967;0,0821009688934217;0,466666666666667;0,37037037037037;0,857142857142857
"31";764588;1771;3107;1771;7;6;40;16;15;31;6;43;8;200;"Landstede Basketbal";"Landsted";764588;3107;3107;1771;12;9;40;13;7;27;5;26;12;200;"BS Leiden";"BS Leide";3,22;5,52;83;56;TRUE;FALSE;82,22;84,52;74,195;79,2814583333333;77;TRUE;76,7382291666667;107,792207792208;72,7272727272727;35,0649350649351;TRUE;0,542253521126761;0,1875;0,103896103896104;0,0845070422535211;0,350746268656716;0,104166666666667;0,155844155844156;0,134328358208955;0,538938291565616;0,417677175963352;0,0433845324710321;0,4;0,483870967741935;0,857142857142857
"32";764588;3107;3107;1771;12;9;40;13;7;27;5;26;12;200;"BS Leiden";"BS Leide";764588;1771;3107;1771;7;6;40;16;15;31;6;43;8;200;"Landstede Basketbal";"Landsted";5,52;3,22;56;83;FALSE;TRUE;84,52;82,22;79,2814583333333;74,195;77;TRUE;76,7382291666667;72,7272727272727;107,792207792208;-35,0649350649351;FALSE;0,350746268656716;0,104166666666667;0,155844155844156;0,134328358208955;0,542253521126761;0,1875;0,103896103896104;0,0845070422535211;0,551571980143409;0,372311086596801;0,0761169332597904;0,325;0,259259259259259;0,75
"33";764606;1771;1771;8594;9;5;39;17;2;22;11;26;26;200;"Landstede Basketbal";"Landsted";764606;8594;1771;8594;22;17;39;21;7;23;6;31;11;200;"Donar";"Donar";4,14;10,12;45;80;FALSE;TRUE;91,14;83,12;79,37;76,29875;78;FALSE;77,834375;57,6923076923077;102,564102564103;-44,8717948717949;FALSE;0,327868852459016;0,261904761904762;0,333333333333333;0,0819672131147541;0,508064516129032;0,1875;0,141025641025641;0,274193548387097;0,598710469757445;0,337734111145226;0,0635554190973288;0,435897435897436;0,0909090909090909;0,555555555555556
"34";764606;8594;1771;8594;22;17;39;21;7;23;6;31;11;200;"Donar";"Donar";764606;1771;1771;8594;9;5;39;17;2;22;11;26;26;200;"Landstede Basketbal";"Landsted";10,12;4,14;80;45;TRUE;FALSE;83,12;91,14;76,29875;79,37;78;FALSE;77,834375;102,564102564103;57,6923076923077;44,8717948717949;TRUE;0,508064516129032;0,1875;0,141025641025641;0,274193548387097;0,327868852459016;0,261904761904762;0,333333333333333;0,0819672131147541;0,540765391014975;0,318912922906267;0,140321686078758;0,538461538461538;0,304347826086957;0,772727272727273
"35";764607;1771;8594;1771;14;9;41;18;2;22;12;26;17;200;"Landstede Basketbal";"Landsted";764607;8594;8594;1771;18;13;43;25;11;19;4;33;14;200;"Donar";"Donar";6,44;8,28;51;96;FALSE;TRUE;86,44;84,28;74,1706666666667;80,5706666666667;77;TRUE;77,3706666666667;66,2337662337662;124,675324675325;-58,4415584415584;TRUE;0,333333333333333;0,266666666666667;0,220779220779221;0,142857142857143;0,669354838709677;0,133333333333333;0,181818181818182;0,209677419354839;0,590437788018433;0,316820276497696;0,092741935483871;0,439024390243902;0,0909090909090909;0,642857142857143
"36";764607;8594;8594;1771;18;13;43;25;11;19;4;33;14;200;"Donar";"Donar";764607;1771;8594;1771;14;9;41;18;2;22;12;26;17;200;"Landstede Basketbal";"Landsted";8,28;6,44;96;51;TRUE;FALSE;84,28;86,44;80,5706666666667;74,1706666666667;77;TRUE;77,3706666666667;124,675324675325;66,2337662337662;58,4415584415584;FALSE;0,669354838709677;0,133333333333333;0,181818181818182;0,209677419354839;0,333333333333333;0,266666666666667;0,220779220779221;0,142857142857143;0,611838360842345;0,27034718269778;0,117814456459875;0,581395348837209;0,578947368421053;0,722222222222222
"37";764608;1771;1771;8594;27;22;32;18;7;20;6;29;18;200;"Landstede Basketbal";"Landsted";764608;8594;1771;8594;22;17;31;15;9;28;3;21;11;200;"Donar";"Donar";12,42;10,12;79;74;TRUE;FALSE;82,42;80,12;76;76,6090625;76;FALSE;76,30453125;103,947368421053;97,3684210526316;6,57894736842105;FALSE;0,548076923076923;0,222222222222222;0,236842105263158;0,423076923076923;0,483050847457627;0,09375;0,144736842105263;0,288135593220339;0,496740142812791;0,310462589257994;0,192797267929215;0,5625;0,35;0,814814814814815
"38";764608;8594;1771;8594;22;17;31;15;9;28;3;21;11;200;"Donar";"Donar";764608;1771;1771;8594;27;22;32;18;7;20;6;29;18;200;"Landstede Basketbal";"Landsted";10,12;12,42;74;79;FALSE;TRUE;80,12;82,42;76,6090625;76;76;FALSE;76,30453125;97,3684210526316;103,947368421053;-6,57894736842105;TRUE;0,483050847457627;0,09375;0,144736842105263;0,288135593220339;0,548076923076923;0,222222222222222;0,236842105263158;0,423076923076923;0,44849537037037;0,405092592592593;0,146412037037037;0,483870967741935;0,321428571428571;0,772727272727273
"39";764609;1771;8594;1771;14;8;29;11;6;26;8;30;13;200;"Landstede Basketbal";"Landsted";764609;8594;8594;1771;22;15;37;20;7;26;10;28;12;200;"Donar";"Donar";6,44;10,12;48;76;FALSE;TRUE;74,44;85,12;65,4044444444444;75,49;70;TRUE;70,4472222222222;68,5714285714286;108,571428571429;-40;TRUE;0,363636363636364;0,222222222222222;0,185714285714286;0,145454545454545;0,484126984126984;0,25;0,171428571428571;0,238095238095238;0,472005208333333;0,423177083333333;0,104817708333333;0,379310344827586;0,230769230769231;0,571428571428571
"40";764609;8594;8594;1771;22;15;37;20;7;26;10;28;12;200;"Donar";"Donar";764609;1771;8594;1771;14;8;29;11;6;26;8;30;13;200;"Landstede Basketbal";"Landsted";10,12;6,44;76;48;TRUE;FALSE;85,12;74,44;75,49;65,4044444444444;70;TRUE;70,4472222222222;108,571428571429;68,5714285714286;40;FALSE;0,484126984126984;0,25;0,171428571428571;0,238095238095238;0,363636363636364;0,222222222222222;0,185714285714286;0,145454545454545;0,50601750547046;0,355579868708972;0,138402625820569;0,540540540540541;0,269230769230769;0,681818181818182
"41";764617;1771;1771;8594;21;13;37;15;4;21;7;23;13;200;"Landstede Basketbal";"Landsted";764617;8594;1771;8594;21;17;34;16;12;26;9;36;14;200;"Donar";"Donar";9,66;9,66;55;85;FALSE;TRUE;80,66;83,66;73,8667441860465;74,03;74;FALSE;73,9483720930233;74,3243243243243;114,864864864865;-40,5405405405405;FALSE;0,362068965517241;0,162790697674419;0,175675675675676;0,224137931034483;0,566666666666667;0,28125;0,189189189189189;0,283333333333333;0,546851906591783;0,310375406443985;0,142772686964233;0,405405405405405;0,19047619047619;0,619047619047619
"42";764617;8594;1771;8594;21;17;34;16;12;26;9;36;14;200;"Donar";"Donar";764617;1771;1771;8594;21;13;37;15;4;21;7;23;13;200;"Landstede Basketbal";"Landsted";9,66;9,66;85;55;TRUE;FALSE;83,66;80,66;74,03;73,8667441860465;74;FALSE;73,9483720930233;114,864864864865;74,3243243243243;40,5405405405405;TRUE;0,566666666666667;0,28125;0,189189189189189;0,283333333333333;0,362068965517241;0,162790697674419;0,175675675675676;0,224137931034483;0,488084984209015;0,373241458512776;0,138673557278208;0,470588235294118;0,461538461538462;0,80952380952381
