"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Nrtg","Home","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct"
"213",213,591193,1771,3138,1771,35,30,34,15,9,27,15,25,14,200,"Landstede Basketbal","Landsted",591193,3138,3138,1771,32,23,30,18,6,21,7,19,11,200,"BV Aris","BV Aris",16.1,14.72,87,77,TRUE,FALSE,91.1,76.72,73.6338235294118,70.4003125,72,FALSE,72.0170680147059,120.833333333333,106.944444444444,13.8888888888889,TRUE,0.467213114754098,0.441176470588235,0.194444444444444,0.491803278688525,0.529411764705882,0.21875,0.152777777777778,0.450980392156863,0.440985732814527,0.350194552529183,0.208819714656291,0.441176470588235,0.333333333333333,0.857142857142857
"214",214,591193,3138,3138,1771,32,23,30,18,6,21,7,19,11,200,"BV Aris","BV Aris",591193,1771,3138,1771,35,30,34,15,9,27,15,25,14,200,"Landstede Basketbal","Landsted",14.72,16.1,77,87,FALSE,TRUE,76.72,91.1,70.4003125,73.6338235294118,72,FALSE,72.0170680147059,106.944444444444,120.833333333333,-13.8888888888889,FALSE,0.529411764705882,0.21875,0.152777777777778,0.450980392156863,0.467213114754098,0.441176470588235,0.194444444444444,0.491803278688525,0.456482045039562,0.319537431527693,0.223980523432745,0.6,0.285714285714286,0.71875
"215",215,591194,2393,2393,3103,10,5,40,20,9,19,6,23,15,200,"Matrixx Magixx","Matrixx ",591194,3103,2393,3103,24,18,49,20,8,17,18,30,10,200,"Rotterdam Basketbal","Rotterda",4.6,11.04,72,82,FALSE,TRUE,78.6,87.04,73.25,69.1892682926829,71,TRUE,71.2196341463415,101.408450704225,115.492957746479,-14.0845070422535,FALSE,0.567796610169492,0.166666666666667,0.211267605633803,0.0847457627118644,0.484848484848485,0.439024390243902,0.140845070422535,0.272727272727273,0.628930817610063,0.29874213836478,0.0723270440251572,0.5,0.473684210526316,0.5
"216",216,591194,3103,2393,3103,24,18,49,20,8,17,18,30,10,200,"Rotterdam Basketbal","Rotterda",591194,2393,2393,3103,10,5,40,20,9,19,6,23,15,200,"Matrixx Magixx","Matrixx ",11.04,4.6,82,72,TRUE,FALSE,87.04,78.6,69.1892682926829,73.25,71,TRUE,71.2196341463415,115.492957746479,101.408450704225,14.0845070422535,TRUE,0.484848484848485,0.439024390243902,0.140845070422535,0.272727272727273,0.567796610169492,0.166666666666667,0.211267605633803,0.0847457627118644,0.636033229491173,0.220664589823468,0.143302180685358,0.408163265306122,0.470588235294118,0.75
"217",217,591195,2823,2823,3107,24,21,31,17,5,14,4,17,16,200,"EBBC","EBBC",591195,3107,2823,3107,24,18,33,16,10,19,9,20,12,200,"BS Leiden","BS Leide",11.04,11.04,70,80,FALSE,TRUE,72.04,75.04,67.9383333333333,65.41,67,FALSE,66.6741666666667,104.477611940299,119.402985074627,-14.9253731343284,FALSE,0.544444444444444,0.166666666666667,0.238805970149254,0.466666666666667,0.596153846153846,0.346153846153846,0.17910447761194,0.346153846153846,0.553176302640971,0.249821556031406,0.197002141327623,0.548387096774194,0.357142857142857,0.875
"218",218,591195,3107,2823,3107,24,18,33,16,10,19,9,20,12,200,"BS Leiden","BS Leide",591195,2823,2823,3107,24,21,31,17,5,14,4,17,16,200,"EBBC","EBBC",11.04,11.04,80,70,TRUE,FALSE,75.04,72.04,65.41,67.9383333333333,67,FALSE,66.6741666666667,119.402985074627,104.477611940299,14.9253731343284,TRUE,0.596153846153846,0.346153846153846,0.17910447761194,0.346153846153846,0.544444444444444,0.166666666666667,0.238805970149254,0.466666666666667,0.523477157360406,0.301395939086294,0.1751269035533,0.484848484848485,0.526315789473684,0.75
"219",219,591196,3520,10757,3520,17,9,47,32,5,13,12,21,16,200,"Den Helder Kings Noordkop","Den Held",591196,10757,10757,3520,19,13,34,16,7,11,2,13,20,200,"BC APOLLO A'dam","BC APOLL",7.82,8.74,88,66,TRUE,FALSE,83.82,73.74,72.0072,71.6930434782609,72,FALSE,71.8501217391304,122.222222222222,91.6666666666667,30.5555555555556,TRUE,0.658333333333333,0.48,0.222222222222222,0.15,0.588888888888889,0.0869565217391304,0.277777777777778,0.288888888888889,0.693010911235624,0.191683869065173,0.115305219699204,0.680851063829787,0.384615384615385,0.529411764705882
"220",220,591196,10757,10757,3520,19,13,34,16,7,11,2,13,20,200,"BC APOLLO A'dam","BC APOLL",591196,3520,10757,3520,17,9,47,32,5,13,12,21,16,200,"Den Helder Kings Noordkop","Den Held",8.74,7.82,66,88,FALSE,TRUE,73.74,83.82,71.6930434782609,72.0072,72,FALSE,71.8501217391304,91.6666666666667,122.222222222222,-30.5555555555556,FALSE,0.588888888888889,0.0869565217391304,0.277777777777778,0.288888888888889,0.658333333333333,0.48,0.222222222222222,0.15,0.632675846669148,0.204689244510607,0.162634908820246,0.470588235294118,0.636363636363636,0.684210526315789
"221",221,591197,2823,3520,2823,31,24,40,20,6,17,12,23,15,200,"EBBC","EBBC",591197,3520,3520,2823,23,17,29,14,7,24,13,21,20,200,"Den Helder Kings Noordkop","Den Held",14.26,10.58,82,66,TRUE,FALSE,86.26,83.58,74.1981818181818,71.2155555555556,73,FALSE,72.7068686868687,112.328767123288,90.4109589041096,21.9178082191781,TRUE,0.508771929824561,0.363636363636364,0.205479452054795,0.421052631578947,0.462264150943396,0.361111111111111,0.273972602739726,0.320754716981132,0.561324726354196,0.238563008700533,0.200112264945271,0.5,0.352941176470588,0.774193548387097
"222",222,591197,3520,3520,2823,23,17,29,14,7,24,13,21,20,200,"Den Helder Kings Noordkop","Den Held",591197,2823,3520,2823,31,24,40,20,6,17,12,23,15,200,"EBBC","EBBC",10.58,14.26,66,82,FALSE,TRUE,83.58,86.26,71.2155555555556,74.1981818181818,73,FALSE,72.7068686868687,90.4109589041096,112.328767123288,-21.9178082191781,FALSE,0.462264150943396,0.361111111111111,0.273972602739726,0.320754716981132,0.508771929824561,0.363636363636364,0.205479452054795,0.421052631578947,0.45611827618748,0.377477194086191,0.166404529726329,0.482758620689655,0.291666666666667,0.739130434782609
